what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.yss.sofa.ide.builder.dbscript.ui,1.1.0,"com.yss.sofa.ide.builder.dbscript.ui",1510294853716
stopped,bundle,com.yss.sofa.ide.builder.dbscript,1.1.0,"com.yss.sofa.ide.builder.dbscript",1510294853716
stopped,bundle,com.yss.sofa.ide.builder.packer.ui,1.0.0,"com.yss.sofa.ide.builder.packer.ui",1510294853716
stopped,bundle,com.yss.sofa.ide.builder.packer,1.0.0,"com.yss.sofa.ide.builder.packer",1510294853716
stopped,bundle,com.yss.sofa.ide.logger,1.0.0,"com.yss.sofa.ide.logger",1510294853717
stopped,bundle,com.yss.sofa.ide.scm,1.0.0,"com.yss.sofa.ide.scm",1510294853717
stopped,bundle,com.yss.sofa.ide.ui.navigator,1.0.0,"com.yss.sofa.ide.ui.navigator",1510294853717
stopped,bundle,com.yss.sofa.ide.ui.table,1.1.0,"com.yss.sofa.ide.ui.table",1510294853717
stopped,bundle,com.yss.sofa.ide.ui,1.1.0,"com.yss.sofa.ide.ui",1510294853718
stopped,bundle,com.yss.sofa.ide.config,1.0.0,"com.yss.sofa.ide.config",1510294853718
stopped,bundle,com.yss.sofa.ide.model,1.0.0,"com.yss.sofa.ide.model",1510294853718
stopped,bundle,com.yss.sofa.common,2.0.0,"com.yss.sofa.common",1510294853718
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1510294853718
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1510294853718
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1510294853718
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1510294853718
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1510294853718
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1510294853719
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1510294853720
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1510294853720
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1510294853720
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1510294853720
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1510294853720
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1510294853720
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.402.v201201250306,"org.eclipse.jst.ws.consumption.ui",1510294853720
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.603.v201202012024,"org.eclipse.jst.ws.consumption",1510294853720
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.core",1510294853720
